Артикул;Наименование;Количество;Единица измерения;Тип;Цена
AL22;Полкодержатель для деревянных полок с фиксацией, с круглым и овальным отверстиями под саморез, никель;973;шт.;Уголки мебельные;6,36
AL22 ZBR;Полкодержатель для деревянных полок с фиксацией, с круглым и овальным отверстиями под саморез, бронза;1349;шт.;Уголки мебельные;6,36
CS01PB;Накладка для держателя задней панели FM20, белая;185;шт.;Уголки мебельные;5,44
CS01PMA;Накладка для держателя задней панели FM20, коричневая;67;шт.;Уголки мебельные;5,44
CS01PNE;Накладка для держателя задней панели FM20, черная;1486;шт.;Уголки мебельные;3,45
FM10FZ;Держатель задней панели;2789;шт.;Уголки мебельные;9
FM18ZNL;Держатель задней панели;429;шт.;Уголки мебельные;10,39
FM20ZN;Держатель задней панели;2832;шт.;Уголки мебельные;21,7
FS1054AA;Уголок мебельный с саморезом белый;1640;шт.;Уголки мебельные;1,55
FS1054AC;Уголок мебельный с саморезом коричневый;2073;шт.;Уголки мебельные;1,55
SPC26X26X20ALD;WINK Уголок мебельный с пластиковой накладкой 26х26х20 мм, ольха;365;шт.;Уголки мебельные;5,3
SPC26X26X20BE;WINK Уголок мебельный с пластиковой накладкой 26х26х20 мм, бук;2301;шт.;Уголки мебельные;5,3
SPC26X26X20BL;WINK Уголок мебельный с пластиковой накладкой 26х26х20 мм, черный;2377;шт.;Уголки мебельные;5,3
SPC26X26X20GR;WINK Уголок мебельный с пластиковой накладкой 26х26х20 мм, серый;1494;шт.;Уголки мебельные;5,3
SPC26X26X20WA;WINK Уголок мебельный с пластиковой накладкой 26х26х20 мм, орех;475;шт.;Уголки мебельные;5,3
SPC26X26X20WE;WINK Уголок мебельный с пластиковой накладкой 26х26х20 мм, венге;2145;шт.;Уголки мебельные;5,3
SPC26X26X20WH;WINK Уголок мебельный с пластиковой накладкой 26х26х20 мм, белый;1573;шт.;Уголки мебельные;5,3
UC9101;Уголок-стяжка;979;шт.;Уголки мебельные;4,05
UC9201;Уголок-стяжка большой;460;шт.;Уголки мебельные;26,23
UM N ВИШНЯ-100;Уголок мебельный вишня (100 шт.);2304;упак.;Уголки мебельные;50
UM N ВИШНЯ-100 M;Уголок мебельный вишня (100 шт.);1602;упак.;Уголки мебельные;100
UM N ГРУША-100 M;Уголок мебельный груша (100 шт.);2259;упак.;Уголки мебельные;150,9
UM №1 M;Уголок мебельный белый (100 шт.);1394;упак.;Уголки мебельные;150,9
UM №10;Уголок меб. светло-коричневый (терракот (100 шт.));2952;упак.;Уголки мебельные;100
UM №11 M;Уголок мебельный светло-коричневый (100 шт.);2653;упак.;Уголки мебельные;100
UM №16 M;Уголок мебельный слоновая кость (100 шт.);2456;упак.;Уголки мебельные;150,9
UM №2 M;Уголок мебельный бежевый (100 шт.);164;упак.;Уголки мебельные;150,9
UM №20;Уголок мебельный бук бавария(100 шт.);2156;упак.;Уголки мебельные;100,59
UM №20 M;Уголок мебельный бук бавария(100 шт.);1514;упак.;Уголки мебельные;100
UM №4 M;Уголок мебельный коричневый (100 шт.);2550;упак.;Уголки мебельные;150,9
UM №5;Уголок мебельный черный (100 шт.);2894;упак.;Уголки мебельные;100
UM №5 M;Уголок мебельный черный (100 шт.);207;упак.;Уголки мебельные;150,9
UM №9;Уголок мебельный серый (100 шт.);2081;упак.;Уголки мебельные;100,59
UM №9 M;Уголок мебельный серый (100 шт.);1914;упак.;Уголки мебельные;150,9
UM40X19;Уголок монтажный, 40х19 мм;296;шт.;Уголки мебельные;6,81
UM50X26X41;Уголок монтажный универсальный, 50х26х41 мм;2678;шт.;Уголки мебельные;11,09
VS05FZ;Евровинт с потайной головкой для держателя задней панели FM20, 6.3 Х 14;1778;шт.;Уголки мебельные;2,4
У 058;Уголок монтажный, Д=65 мм, Ш=22 мм;891;шт.;Уголки мебельные;13,1
У 100;Уголок монтажный, Д=25 мм, Ш=17 мм;888;шт.;Уголки мебельные;4,08
